V1,V2,V3,V4,V5,V6,V7
6.28,2.8,1.52,1.67,1.91,1.28,5.75
6.85,3.97,3.63,5.88,5.64,2.6,3.35
8.3,0.72,2.93,4.85,5.01,2.64,4.18
5.34,1.69,4.99,7.91,2.53,1.77,2.08
5.5,0.98,1.02,5.31,2.34,0.01,0.48
0.53,5.15,1.38,0.2,1.51,0.19,1.59
4.84,4.95,9.55,2.77,0.63,3.72,6.76
2.23,8.56,1.09,7.67,1.71,2.91,2.46
1.69,10.11,10.59,2.91,7.21,2.93,6.79
4.39,1.28,0.63,1.4,3.32,3.01,2.08
1.01,1.07,0.23,0.37,2.41,8.01,12.65
2.96,1.53,0.49,0.38,0.26,3.02,4.02
2.39,2.28,2.4,9.18,4.27,1.62,2.88
1.18,2.34,3.86,3.93,2.51,8.09,6.64
1.13,2.73,1.23,0.9,0.48,0.62,1.19
1.7,6.18,5.27,2.15,2.3,2.96,1.63
1.79,1.21,0.93,0.59,0.22,0.46,3.73
6.63,5.38,1.18,1.33,0.15,6.86,6.31
0.27,1.17,2.38,1.26,0.74,1.06,0.3
0.92,1.15,1.44,0.43,1.6,1.16,6.35
7.5,6.83,3.55,1.73,0.11,1.79,6.98
1.65,2.21,1.19,1.18,4.54,1.89,2.13
2.04,0.35,8.74,0.91,2.15,3.15,0.54
0.52,6.55,1.56,2.5,2.23,0.91,0.91
2.38,3.29,2.59,3.98,0.68,1.24,0.33
1.38,0.33,0.19,0.34,0.62,5.53,5.57
2.88,3.76,3.35,9.22,3.68,1.05,1.08
4.22,1.09,0.72,2.49,4.04,6.24,0.44
1.26,0.43,0.67,0.31,13.23,3.59,0.49
0.35,0.36,0.32,1.11,3.18,0.98,0.17
0.33,0.11,0.79,0.11,0.05,0.13,0.14
0.18,0.23,0.03,4.81,3.62,1.41,0.43
0.34,4.75,1.02,1.97,2.63,0.82,1.61
0.64,2.26,3.01,3.68,1.8,0.86,6.15
3.85,0.73,0.86,0.63,0.88,1.02,0.34
0.31,4.98,0.49,6.52,2.01,2.16,5.45
5.85,0.77,0.92,3.65,5.59,0.59,3.06
6.44,3.67,2.56,0.23,0.5,2.41,9.07
1.22,0.56,2.34,1.77,0.98,3.92,8.66
9.66,10.32,3.64,3.33,4.03,1.76,0.5
1.28,0.98,2.91,0.58,3.07,3.09,2.75
3.27,4.21,1.52,0.16,1.36,1.26,3.6
3.41,3.46,4.57,3.12,6.55,2.2,2.16
0.53,0.09,0.11,0.21,2.23,1.6,1.87
0.84,3.84,8.86,3.77,10.31,4.11,3.28
0.31,0.11,2.87,2.41,8.07,4.82,0.52
1.17,0.63,8.85,2.11,0.71,2.26,3.47
1.95,2.52,0.2,0.32,2.91,1.66,3.02
2.2,0.53,1.77,2.59,0.6,1.3,2.73
1.78,11.48,1.9,0.75,3.07,4.65,0.01
3.86,0.8,8.97,0.81,0.95,4.36,4.08
0.91,1.45,2.67,1.03,0.38,0.68,5.44
9.74,0.55,4.09,0.3,2.69,1.12,3.52
5.44,0.09,0.18,1.53,1.05,1.28,4.5
4.7,2.7,0.16,0.43,5.27,0.54,2.43
2.72,4.75,0.27,2.73,0.68,2.36,4.94
0.67,0.61,2.04,1.98,2.53,1.69,0.84
0.42,2.35,2.16,1.36,0.45,2.17,4.28
0.4,5.25,0.31,1.16,1.25,1.1,4.13
0.99,1.01,1.24,1.79,2.45,1.71,4.72
6.75,0.25,0.31,5.41,0.58,0.13,0.1
0.19,0.17,0.13,1.34,2.09,2.31,2.34
1.21,0.61,1.99,3.68,0.46,0.74,8.42
5.26,2.21,1.67,1.05,0.07,0.08,1.82
1.69,11.21,3.72,2.21,1.39,0.85,1.02
0.37,1.26,4.63,5.58,1.75,1.79,1.11
0.4,2.46,13,3.01,0.25,0.4,0.61
0.13,0.08,0.77,0.26,0.26,0.77,0.05
0.88,10.65,4.57,2.13,0.4,0.01,0.08
2.03,3.8,1.99,1.11,0.78,2.46,0.38
0.34,0.89,0.7,2.26,3.14,2.09,1.36
3.06,1.63,4.47,2.46,3.04,1.05,1.58
0.93,2.44,1.14,1.74,1.95,1.58,2.87
1.22,1.57,3.57,0.7,0.99,2.28,2.9
0.89,0.24,0.23,0.19,0.29,0.45,0.05
0.63,1.37,1.09,0.19,0.29,0.15,0.88
1.47,1.29,0.5,0.32,2.52,1.25,1.5
0.24,1.06,1.02,0.11,0.34,3.5,0.08
0.03,0.03,0.02,0.02,0.24,0.76,1.31
0.82,3.17,1.08,2.69,3.79,2.39,7.71
1.27,0.53,2.02,5.72,6.55,1.95,10.6
2.49,0.34,0.4,1.26,1.48,0.73,3.86
1.43,6.96,0.06,8.65,1.42,0.34,0.82
1.71,6,4.48,1.41,0.2,0.71,0.71
0.12,0.3,1.4,1.98,3.91,0.48,1.25
1.74,4.57,2.29,0.72,0.52,2.17,5.97
2.09,0.17,0.23,1.58,0.64,0.98,0.01
3.37,3.09,0.98,2.61,2.39,1.11,4.88
10.39,2.24,0.13,1.44,4.29,2.29,3.58
1.27,5.9,4.38,1.36,2.06,4,1.5
3.81,3.97,2.34,0.51,0.05,0.15,8.97
1.19,3.76,2.1,0.46,0.7,2.24,2.05
3.89,8.4,0.17,0.03,5.41,0.98,1.11
1.15,0.19,0.62,1.23,6.93,0.58,0.33
2.7,0.09,0.09,2.74,15.41,1.87,1.04
0.78,0.28,0.61,3.23,4.95,0.6,1.75
0.32,2.96,5.57,1.05,0.11,0.23,2.4
1.73,8.24,1.46,2.28,2.44,8.63,2.28
1.17,0.69,1.55,0.89,0.66,1.25,2
9.76,1.35,0.35,0.52,3.35,3.21,0.56
2.62,1.71,1.35,2.18,4.64,5.14,4.78
6.21,3.48,3.65,3.11,2.48,4.05,2.27
7.51,5.69,2.57,3.19,1.45,1.24,1.31
2.52,1.59,4.71,2.07,0.24,2.09,8.57
7.91,0.68,0.63,1.74,4.01,4.06,1.75
0.35,0.6,2.53,0.21,1.23,1.75,2.52
1.61,2.51,0.72,2.62,6.41,4.39,3.3
2.06,5.89,0.95,4.24,6.46,13.23,2.66
0.21,1.02,1.01,2.34,1.05,3.7,2.09
10.21,2.41,4.19,8.97,8.25,0.36,0.22
1.03,0.17,0.98,2.37,2.48,2.55,3.08
3.29,7.86,3.91,4.42,2.18,2.93,4.43
3.37,0.19,0.84,1.06,0.72,0.14,0.1
1.94,1.96,1.76,2.66,1.41,6.73,0.52
1.72,0.3,0.5,0.33,0.72,0.23,0.09
0.53,1.09,1.07,6.13,2.43,1.27,2.84
4.72,0.97,1.55,1.88,6.72,4.7,0.73
0.26,0.23,1.88,2.04,1.25,0.78,0.46
3.36,5.71,0.49,1.55,12.5,2.16,0.6
0.29,1.07,1.13,4.1,10.58,1.43,0.42
1.17,1.23,1.05,0.75,0.46,0.35,0.17
2.33,16.62,1.42,2.1,2.46,1.13,2.61
2.96,1.6,5.8,1.97,1.34,0.37,1.46
3.55,0.69,4.66,0.76,0.46,0.15,0.51
0.25,1.31,1.42,2.49,1.75,3.99,2.01
1.99,3.12,2.41,2.08,1.65,3.45,5.8
5.34,2.01,2.33,1.67,2.81,1.99,1.3
3.01,7.44,1.35,1.01,0.46,0.72,1.19
3.55,1.67,1.05,1.73,1.27,4.32,0.53
1.43,4.47,1.94,2,0.44,2.25,1.84
4.34,1.05,0.9,1.34,0.36,0.24,0.68
2.95,0.68,9.38,6.12,2.74,3.66,0.35
3.55,3.45,0.85,3.27,2.68,4.62,2.12
2,5.33,2.21,1.95,0.21,0.19,0.09
0.97,0.88,0.12,0.09,0.89,0.62,0.18
3.13,7.28,1.43,0.17,0.04,0.07,0
0.03,1.25,0.83,0.6,0.42,0.04,0
0.04,0.54,1.85,3.22,3.53,1.78,0.98
0.99,0.06,0.03,0.01,1.24,2.86,4.72
4.25,6.09,0.74,0.04,1.95,3.93,1.43
0.47,0.11,0.63,0.66,0.95,0.02,3.32
3.93,0.28,0.81,1.07,0.32,4.67,2.78
3.16,5.56,5.17,5.56,2.04,0.36,1.53
0.5,0.74,0.97,0.71,1.44,0.02,0.31
6.54,1.41,1.74,2.41,1.32,1.29,8.63
2.33,0.13,3.02,9.61,2.43,0.23,0.14
0.14,0.13,7.48,3.31,5.39,1.12,0.01
0,1.89,4,0.16,0.1,0.82,1.54
6.75,4.56,0.36,3.52,0.99,2.84,7.71
1.65,8.34,0.64,0.13,1.75,3.76,2.94
4.31,1.97,0.11,0.24,1.94,0.22,2.72
0.39,1.59,0.26,2.4,0.34,1.51,5.53
5.67,2.53,2.16,4.24,5.12,0.98,1.17
0.74,0.83,0.72,1.63,0.7,12.12,1.68
2.4,9.59,4.25,10.1,2.52,1.09,0.83
3.84,2.04,0.66,1.91,3.86,1.98,3.44
5.87,13.35,3.73,3.49,1.02,0.13,1.88
8.23,6.7,1.16,3.89,1.45,0.56,3.49
2.02,3.61,1.12,2.81,1.36,3.13,2.4
2.38,3.58,0.6,0.32,1.53,6.11,1.13
0.62,2.57,8.25,1.91,0.31,1.48,5.16
8.4,7.43,1.23,0.95,7.95,1,0.18
5.85,8.05,3.53,0.8,0.51,3,1.32
0.9,2.91,4.69,1.31,2.33,9.15,2.61
0.24,0,0.25,1.51,6.05,7,0.82
0.46,1.65,1.91,1.4,3.01,0.58,0.33
0.39,1.2,5.7,0.37,0.58,0.36,6.87
1.53,8.97,2.37,1.35,3.26,0.95,1.53
1.52,1.84,6.1,0.99,0.88,0.6,3.55
2.15,0.54,1.69,3.81,0.31,10.19,12.57
1.21,0.44,0.29,0.65,0.49,0.95,1.38
1.74,1.13,3.73,2.41,0.88,2.29,0.34
0,0.15,0.12,0.46,1.21,0.52,0.29
0.84,1.06,1.2,5.72,12.04,5.34,2.25
2.98,1.81,1.82,2.67,3.9,1.11,3.11
3.93,1.26,2.52,0.3,0.16,3.26,4.42
2.7,0.54,3.1,0.82,1.17,1.64,2.36
0.6,1.34,1.11,0.76,1.5,0.93,0.57
0.8,1.18,2.27,2.77,0.66,1.2,2.68
1.13,1.54,0.43,1.22,1.07,0.71,2.5
2.98,1.36,3.43,2.18,1.38,1.09,2.14
2.78,0.28,1.05,0.26,0.19,6.03,3.48
1.47,2.13,1.6,1.63,0.2,0.34,1.21
0.64,1.51,1.34,2.23,1.13,0.35,1.17
1.83,1.3,2.34,1.51,0.55,0.7,1.89
1.54,0.12,0.93,1.27,0.24,0.78,0.45
0.51,1.59,3.43,7.34,1.37,1.14,0.99
1.36,3.51,1.8,2.01,0.05,0.36,2.89
3.48,0.02,5.06,3.79,0.26,0.12,0.02
0.79,1.59,6.72,1.46,0.02,4.27,0.25
0.62,1.59,7.93,9.79,1.61,0.34,0.83
0.34,0.49,0.64,0.6,0.03,0,0.17
0.23,0.49,3.25,2.89,2.31,11.27,1.61
1.57,1.58,3.68,0.42,0.08,0.03,0.01
1.02,6.94,8.16,0.75,0.71,0.39,3.69
0.06,0.47,1.95,3.09,2.84,8.12,0.02
1.94,3.46,1.6,0.04,1.46,6.7,8.51
3.59,2.1,5.36,1.66,0.03,0.01,0.19
2.14,2.79,6.26,0.5,1.04,4.82,2.91
1.51,0.93,1.65,2.99,5.35,0.68,2.04
8.06,6.91,5.23,1.92,1.97,1.14,0.76
2.51,1.43,3.19,5.13,1.34,0.1,0.06
0.38,1.45,3.45,0.46,1.95,1.24,1.23
2.24,1,0.39,0.05,0.78,2,3.42
1.48,0.31,0.58,1.39,1.79,0.98,3.84
12.34,1.71,0.7,4.79,0.98,8.09,4.53
1,1.07,0.18,1.15,0.96,1.36,4.54
6.69,5.77,0.71,4.82,4.81,4.31,6.73
1.7,0.64,2.04,2.57,2.85,2.83,1.57
1.98,10.23,13.06,0.88,2.51,5.2,2.83
0.4,1.25,0.71,0.88,4.62,3.89,0.94
0.1,0.04,0.86,5.19,2.86,3.57,0.48
0.22,2.25,4.79,1.61,0.19,1.44,0.7
1.65,0.94,1.22,8.13,11.87,0,0.15
0.64,0.16,2.64,4.82,3.06,2.26,0.61
0.07,0.47,1.62,0.56,1.04,2.75,2.27
3.24,0.06,0.54,2.61,2.28,0.08,0.73
0.49,0.65,0.38,0.17,1.13,1.21,0.1
0.05,0.01,0.01,0.03,0.02,0.19,0.67
0.22,2.45,0.7,0.45,0.39,1.04,0.64
0.4,0.51,0.25,0.7,6.64,4.98,1.06
0.21,0.97,2.36,1,5.13,2.99,2.51
4.66,2.93,3.38,1.45,0.33,0.31,0.7
4.38,4.89,0.74,3.99,2.82,8.94,3.03
0.85,1.58,1.32,1.02,3.74,8.87,0.72
1.76,1.14,0.84,1.35,0.94,0.73,2.64
7.98,4.65,0.42,3.39,5.19,3.05,1.3
0.97,1.15,2.46,3.12,1.07,2.01,0.41
0.63,3.76,3.41,1.89,1.31,1.15,1.38
0.93,0.47,0.89,7.91,2.15,2.67,0.84
0.35,1.56,0.38,3.47,11.82,1.2,0.35
0.5,0.38,0.14,0.66,1.41,3.75,0.92
1.4,5.25,0.33,0.62,0.57,10.59,10.5
3.3,0.72,1.11,2.73,0.44,2.9,1.15
0.22,0.44,1.21,1.67,7.56,3.15,0.9
0.21,0.28,0.73,2.14,2.89,0.68,1.32
0.41,0.82,0.54,0.2,0.16,0.38,2.21
1.89,1.79,1.93,1.51,1.21,0.47,0.51
0.34,0.2,0.82,6.02,4.89,1.55,0.8
6.45,1.88,5.82,0.42,0.2,1.17,3.22
0.7,2.19,2.04,0.29,0.68,1.87,1.01
0.35,2.11,5.54,6.37,4.54,0.33,2.93
0.84,0.36,0.23,0.75,6.63,1.15,0.13
2.27,6.03,5.05,1.68,0.51,0.52,0.8
2.42,7.29,1.55,0.57,0.73,1.32,0.55
0.56,0.46,14.51,3.15,0.21,0.02,0.04
0.11,4.73,3.23,5.11,2.57,0.86,1.04
0.38,2.8,3.66,4.01,3.72,9.97,3.38
0.29,0.62,1.14,5.91,0.5,1.57,3.64
0.94,2.54,1.91,0.44,2.52,3.3,2.59
7.22,0.23,6.36,1,0.53,0.12,0.01
1.07,2.18,2.16,3.05,0.17,1.51,2.78
3.38,8.68,8,1.06,0.88,4.4,0.57
2.2,3.68,0.09,2.57,9.9,6.26,0.22
1.5,3.86,11.29,0.98,2.65,3.49,0.2
0.46,0.67,0.29,1.99,8.42,2.41,0.59
1.16,3.16,1.49,1.82,0.69,0.89,3.57
12.83,4.68,2.85,2.3,4.84,2.06,0.46
2.85,2.27,1.17,0.83,2.1,1.49,3.93
1.97,2.31,4.65,1.44,0.09,1.31,6.48
13.66,4.24,0.46,1.03,3.49,2.9,0.64
0.51,10.18,19.22,3.23,1.32,1.04,0.78
2.99,1.73,1.05,0.54,1.76,8.75,12.11
4.31,2.47,4.47,0.63,5.03,12.72,1.82
4.05,0.31,2.51,2.54,6.18,1.05,0.7
1.67,2.31,4.19,5.59,3.8,0.46,0.5
0.9,1.28,0.37,1.28,0.78,1.04,2.58
3.17,2.47,3.9,6.37,3.07,1.57,11.41
5.25,0.96,0.81,1.18,4.34,4.37,3.95
1.42,1.7,2.47,3.6,4.54,3.21,0.74
0.83,1.09,0.58,0.04,0.22,0.12,0.49
1.93,1.16,2.48,3.96,0.64,0.12,0.34
0.01,0.29,1.02,1.7,1.89,0.02,1.02
0.7,0.14,0.6,3.48,1.8,0.03,0.03
0.03,1.92,1.01,3.12,7,1.23,0.17
2.52,2.25,1.52,0.7,6.6,3.91,3.02
1.95,0.43,0.92,5.88,2.15,4.79,8.1
1.49,0.73,1.42,4.35,1.18,2.95,0.92
1.72,3.94,1.16,0.18,2.11,8.48,0.9
4.39,2.16,2.04,3.43,1.37,0.79,2.55
1.41,4.33,2.54,4.28,10.57,5.4,1.61
0.36,2.49,3.45,1.6,0.28,3.82,5.79
0.16,0.13,0.54,0.37,2.22,8.38,0.47
1.01,2.58,1.11,1.14,0.43,1.16,1.55
5.3,1.51,4.09,1.95,0.67,4.72,8.3
7.38,1.11,7.78,2.57,2.3,1.03,2.93
1.37,4.22,1.34,1.18,1.81,6.12,1.4
6.42,1.22,9.68,6.73,1.9,3.77,0.59
1.39,1.02,0.92,3.36,1.47,1.56,5.16
2.59,1.08,0.6,6.81,15.65,2.42,0.95
1.15,1.72,0.97,0.61,2.85,3.06,0.52
0.25,0.7,0.73,0.4,0.08,0.12,0.08
1.87,1.77,0.63,6.49,4.77,0.91,0.84
1.11,3.41,1.19,0.14,1.55,2.32,0.3
2.21,1.94,0.07,0.87,1.8,0.09,0.27
0.51,0.49,4.35,1.67,0.32,0.11,1.54
9.44,3.77,0.36,1.15,5.81,0.9,3.55
0.68,1.41,1.14,3.19,1.09,0.44,0.01
3.26,2.57,0.73,0.03,0.02,0.06,1.09
1.77,1.98,1.26,1.75,2.36,0.94,1.65
5.43,2.96,0.03,0.21,0.56,2.48,3.64
8.45,1.41,1.74,0.76,3.28,3.75,0.37
1.43,2.18,2.27,6.31,4.34,1,0.95
1.05,0.2,4.28,2.92,0.81,1.35,2.4
6.12,2.16,2.14,1.72,0.75,0.25,0.64
1.93,0.1,0.36,0.67,2.23,0.34,1.09
3.71,2,1.61,8.14,0.15,0.01,0.38
5.93,5.89,1.19,0.04,4.7,9.45,3.3
2.85,1.37,1.37,9.27,1.59,9.16,0.76
0.65,4.26,4.15,1.49,2.29,2.67,2.04
0.94,0.71,0.65,3.66,2.04,1.28,2.25
0.74,0.92,1.05,1.99,0.53,1.07,1.52
7.9,8.29,0.15,1.48,2.36,6.28,7.99
2.94,5.36,1.95,2.07,4.29,1.4,0.19
0.53,2.34,5.16,5.59,2.16,1.49,0.94
1.93,0.86,1.77,4.56,4.86,7.1,1.64
0.7,4.64,6.88,5.08,0.27,0.36,4.64
6.58,1.44,2.94,2.21,11.55,2.37,0.88
2.82,1.74,8.9,5.04,1.21,5.59,2.39
2.37,3.9,6.62,8.36,2.96,2.71,0.73
0.7,0.06,2.27,4.91,15.67,2.53,3.06
1.28,0.17,0.03,0.65,14.6,6.37,2.64
0.98,1.64,2.96,0.66,3.71,3.01,0.4
2.05,2.52,1.83,5.55,8.68,9.1,2.54
0.37,0.95,0.82,1.84,1.33,0.53,2.41
3.74,0.92,0.33,0.92,0.15,0.33,1.19
2.38,7.29,0.74,0.68,1.16,7.83,2.76
1.12,9.05,9.83,2.66,0.36,0.73,3.63
1.27,2.49,2.22,2.89,5.8,15.06,10.62
3.26,1.01,1.04,0.89,1.11,4.05,1.55
4.18,0.58,1.83,0.94,0.71,0.66,4.44
8.38,3.72,1.94,1.71,1.79,2.01,1.64
0.89,0.93,0.39,0.51,6.39,10.18,5.24
1.05,0.52,0.89,0.66,2.11,5.86,1.23
4.67,1.4,1.34,1.3,1.53,3.78,0.9
3.21,2.33,0.51,2.15,3.69,1.37,0.59
1.72,1.36,1.06,0.41,0.67,0.79,7.23
10.22,0.78,0.64,1.32,3.32,0.93,1.74
6.73,4.48,0.89,1.35,0.73,0.77,0.32
0.19,0.48,2.52,3.33,8.76,0.61,1.17
3.36,0.8,0.54,3.38,1.42,1.05,0.36
1.45,0.86,0.61,0.12,0.72,0.81,0.04
0.38,9.37,3.31,0.23,2.54,9.74,4.01
2.28,0.38,0.83,0.16,1.37,2.17,5.05
0.21,0.44,1.07,1.12,1.6,5.75,2.87
0.33,3.27,2.67,7.38,5.82,2.19,0.51
0.29,0.12,2,1.12,3.29,2.77,0.63
0.46,0.75,1.87,2.71,2.11,1.39,0.96
0.72,0.04,0.01,0.01,0.24,0.18,0.13
2.22,1.47,7.08,4.6,3.62,0.74,5.11
1.92,0.14,0.83,6.66,4.76,0.63,1.96
0.71,1.67,1.87,0.28,0.65,0.9,0.42
0.24,0.11,0.02,2.3,6.04,0.16,0.09
3.77,4.62,3.49,8.46,2.66,2.19,0.03
0.38,1.56,1.54,0.94,0.89,2.14,1.7
1.76,0.49,0.11,0.2,1.11,3.59,2.15
6.04,9.76,1.43,1.27,9.05,0.52,1.93
1.36,8.27,5.57,4.92,2.2,2.47,0.49
2.34,2.68,0.55,1.4,0.29,0.75,2.72
0.67,0.1,0.7,0.91,3.6,2.63,8.48
4.79,1.1,1.24,2.89,0.3,1.13,9
1.5,4.48,4.74,0.2,0.06,0.12,0.89
2.73,7.45,0.38,0.52,1.69,2.31,0.76
1.76,2.04,1.15,6.87,2.85,0.26,2.78
1.49,5.73,6.37,1.22,0.56,1.56,2.57
4.33,7.35,5.22,6.06,4.24,2.45,2.72
1.98,4.54,6.9,2.2,0.72,0.27,0.25
3.43,9.23,2.13,1.13,2.53,1.29,0.97
0.67,1.73,0.82,1.82,1.5,1.42,9.77
7.62,3.24,1.5,0,0.06,1.37,0.34
0.11,0.29,4.72,3.37,0.55,0.08,0.13
0.06,0.16,3.56,8.72,6.44,2.01,1.14
0.24,0.49,0.9,2.31,10.41,1.12,1.21
2.35,8.44,6.09,1.16,0.17,0.09,1.11
7.12,5.58,3.16,0.33,2.19,5.1,13.3
0.77,0.55,1.5,1.97,0.24,0.54,2.93
1.13,0.64,0.39,0.05,0.41,0.47,0.23
2.75,2.96,4.43,16.16,6.37,1.35,1.63
1.63,8.62,5.62,8.78,8.45,0.72,1.22
2.1,1.56,3.99,2.94,5.86,1.24,0.38
0.31,0.17,2,4.18,6.23,3.49,1.77
7.61,10.79,3.25,1.97,2.68,1.48,1.07
2.01,3.77,16.15,10.01,5.5,4.93,7.9
0.45,0.41,0.28,0.37,1.82,1.69,4.13
0.66,2.41,2.68,0.9,1.53,2.22,2.01
2.99,0.33,0.4,5.89,2.91,1.02,2.63
1.84,1.22,2.02,0.73,0.87,2.65,6.08
1.69,1.79,1.96,3.73,2.5,1.96,1.14
1.3,2.3,2.24,0.98,1.38,2.6,0.9
3.19,2.37,3.41,2.96,5.58,8.68,2.7
0.62,0.54,2.86,3.2,1.62,2.22,3.48
0.99,0.34,0.39,1.71,2.02,3.51,1.24
0.74,2.82,0.85,5.73,1.36,0.46,0.17
1.39,1.92,1.46,2.74,1.44,0.76,0.43
0.2,5.66,0.62,2.05,0.96,0.26,0.87
1.21,1.01,0.53,0.37,1.79,0.64,0.16
2.4,1.05,0.33,1.01,2.59,0.74,0.02
0.22,2.86,6.69,2.55,0.84,0.09,0.38
3.19,3.15,0.14,1.68,2.04,2.19,2.31
9.74,0.2,0.6,3.13,2.44,1.14,1.56
6.55,0.42,0.13,0.53,1.51,7.42,2.51
2.1,9.47,0.64,0.08,3.28,9.16,6.26
1.08,0.79,0,0.01,0.05,1.31,3.28
3.59,9.42,8,0.97,0.16,0.1,0.31
5.97,2.66,1.37,0.89,5.18,0.02,0.56
1.15,0.5,0.25,1.09,6.83,4.05,0.98
0.38,1.7,0.57,0.2,0.44,1.21,1.5
0.29,1.3,0.48,0.05,0.05,0.03,0.77
0.7,2.56,4.35,8.15,10.73,3.49,4.05
5.28,5,3.11,5.47,4.26,4.95,6.98
0.3,3.73,5.05,12.44,1.61,0.46,4.08
2.09,0.47,0.5,6.32,5.27,3.51,5.04
6.18,1.19,0.55,0.19,1.59,1.87,1.74
3.24,3.1,6.04,2.74,1.08,0.41,1.45
1.32,1.57,2.73,1.69,1.48,3.75,5.6
7.24,4.22,1.42,0.69,3.19,3.34,0.28
0.92,1.52,5.97,8.45,5.35,1.14,1.31
2.26,7.3,4.36,4.83,0.55,0.02,0.04
0.92,0.83,0.51,3.72,6.9,5.69,3.16
2.66,3.53,0.2,0.01,0.91,0.82,3.27
10.06,3.07,1.89,4.47,0.71,0.11,0.55
0,0.01,0.26,0.29,0.03,0.52,1.89
0.2,1.41,0.32,1.83,0.64,1.03,0.41
0.04,0.12,0.17,6.46,16.7,1.07,3.75
1.23,0.94,4.64,7.75,12.28,3.03,1.38
0.24,0.9,0.74,1.68,0.41,0.33,2.9
13.09,4.22,1.25,0.97,0.13,3.02,0.56
6.06,6.5,12.1,7.81,1.61,3.75,1.39
0.1,0.15,3.64,6.47,1.88,6.03,0.58
1.57,2.41,3.42,9.62,7.92,4.72,4.21
1.83,1.36,0.98,1.06,0.87,2.67,6.47
4.2,2.02,4.9,0.42,1.65,3.34,4.72
1.19,1.09,2.98,6.07,1.21,1.41,1.67
2.34,2.04,2.48,0.43,0.44,0.99,5.53
0.57,0.7,0.77,2.11,4.11,0.8,0.3
4.31,8.23,4.07,1.01,0.41,0.99,0.45
4.35,3.83,0.34,3.75,16.99,2.08,2.32
1.65,4.54,0.88,1.22,1.21,1.21,1.75
3.61,0.84,2.12,2.98,3.57,1.47,2.09
0.94,2.13,3.88,0.75,0.83,1.09,2.51
9.75,3.22,0.4,0.2,1.58,0.9,0.43
0.88,2.1,1.3,1.18,2.12,0.46,2.6
3.48,6.6,0.75,0.73,14.9,7.81,1.37
0.09,0.96,1.14,0.37,1.51,1.42,0.76
2,1.52,1.24,1.88,0.57,1.96,1.64
0.9,1.81,0.45,0.92,2.75,0.17,0.06
0.34,0.63,2.56,2.61,0.25,1.84,0.52
0.16,0.23,0.32,0.02,0.03,0.57,2.13
1.07,0.77,8.08,0.33,2.11,3.2,3.4
0.54,2.69,5.42,3.27,3.29,4.38,5.72
0.32,1.02,1.8,2.53,1.34,1.2,1.45
4.63,0.39,0.39,7.51,7.97,0.23,0.36
2.79,1.8,1.1,0.33,0.14,0.05,1.8
7.6,0.61,1.18,0.73,0.7,0.03,1.58
1.77,2.12,7.59,4.03,1.55,0.75,0.21
0.35,2.18,2.66,1.61,1.64,1.87,0.46
0.05,0.54,0.88,1.83,5.54,0.58,1.99
1.83,0.08,2.59,2.78,10.92,2.81,1.65
6.79,2.24,1.04,1.38,0.48,0.02,0.04
4.1,6.24,4.06,7.08,1.12,1.77,3.71
2.91,1.04,0.91,3.52,3.78,5.94,3.85
4,4.98,9.78,4.17,2.94,2.15,1.77
0.37,1.58,3.61,2.5,0.88,8.45,1.37
4.36,1.12,14.25,2.33,7.25,4.49,2.37
8.35,3.56,0.76,2.03,1.51,4.59,3.75
3.67,3.77,4.49,1.13,0.99,0.16,2.98
1.29,3.11,6.2,4.59,9.08,2.28,2.58
3.66,1.33,4,3.33,1.2,2.08,6.01
1.04,0.91,6.86,11.73,0.5,0.68,0.92
0.29,7.89,5.69,2.4,3.22,1.07,0.76
0.45,2.63,1.9,0.45,4.13,10.92,1.83
2.99,10.41,3.26,3.55,13.99,5.41,7.4
2.12,0.25,0.21,0.04,0.76,0.96,2.25
5.32,5.35,1.23,3.62,15.56,3.91,0.69
2.06,4.46,6.99,6.08,0.08,0.18,0.25
0.15,2.42,3.44,1.13,1.02,2.49,1.13
5.65,2.94,7.12,1.17,1.13,2.52,0.34
0.13,0.01,1.03,8.59,5.36,2.78,1.25
5.11,1.44,1.04,7.16,3.2,0.37,0.02
0.66,2.08,3.07,4.1,2.76,8.69,3.93
1.31,0.84,5.14,1.67,2.69,2.74,0.89
3.28,2.72,0.63,0.18,0.04,2.52,1.43
0.47,0.26,0.76,2.69,4.76,1.86,1.44
0.76,0.53,2.26,0.55,1.93,6.84,2.39
3.19,7.32,4.4,1.25,5.34,0.57,1.76
1.68,0.46,4.17,0.59,15.16,1.79,0.38
2.8,1.23,3.37,8.1,5.85,2.2,1.45
0.86,1.28,0.99,1.13,6.77,5.13,1.26
0.75,0.28,0.27,0.65,4.59,1.7,0.48
9.95,4.48,1.04,1.32,1.98,11.41,8.76
0.82,2.04,3.18,1.95,0.88,1.72,1.62
2.36,6.04,2.33,3.4,5.28,2.55,0.97
0.43,0.21,0.77,3.12,3.89,5.62,2.74
1.47,1.45,1.12,1.65,6.5,7.46,2.35
0.78,2.82,4.3,7.62,8.92,0.78,1.32
3.7,4.05,1.19,0.66,0.06,0.39,0.36
0.05,1.81,3.02,1.21,0.37,0.53,0.72
0.48,0.51,0.58,0.31,0.07,0.05,0.31
2.37,1.51,1.02,0.56,0.04,0.35,0.26
0.33,0.04,0.2,0.13,0.52,0.84,0.37
0.25,0.41,0.78,0.37,0.46,0.42,0.12
